Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ000009J5Ev2AK,15-valent pneumococcal conjugate vaccine (PCV15),A-04423,VAXNEUVANCE.,15-valent pneumococcal conjugate vaccine (PCV15),MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,Prevention of invasive pneumococcal disease,Decision,15-valent pneumococcal conjugate vaccine (PCV15) (VAXNEUVANCE.),/apptracker/s/application-public/a102P00000BUmR1,
a0ROZ000004CX2l2AG,Adjuvanted inactivated quadrivalent influenza vaccine,A-03341,FLUAD® QUAD,Adjuvanted inactivated quadrivalent influenza vaccine,Seqirus,influenza vaccination for people aged 65 years and over.,Decision,Adjuvanted inactivated quadrivalent influenza vaccine (FLUAD® QUAD),/apptracker/s/application-public/a102P00000ACGT3,National Immunisation Schedule
a0ROZ00000Cn1xE2AR,Adjuvanted inactivated trivalent influenza vaccine (aTIV),A-00724,Fluad,Adjuvanted inactivated trivalent influenza vaccine (aTIV),Seqirus,Influenza vaccine for people 65 years of age and over,Options Compared,Adjuvanted inactivated trivalent influenza vaccine (aTIV) (Fluad),/apptracker/s/application-public/a10OZ000003tIqb,National Immunisation Schedule
a0R2P000000gVYDUA2,Bevacizumab and Human Papillomavirus (HPV) vaccine,A-00655,,Bevacizumab and Human Papillomavirus (HPV) vaccine,PHARMAC Initiated,Recurrent respiratory papillomatosis,Decision,Bevacizumab and Human Papillomavirus (HPV) vaccine,/apptracker/s/application-public/a102P000008pu1t,Respiratory System and Allergies
a0R2P000000LmcWUAS,Diphtheria and tetanus vaccine,A-00221,,Diphtheria and tetanus vaccine,PHARMAC Initiated,Widening of access,Decision,Diphtheria and tetanus vaccine,/apptracker/s/application-public/a102P000008pu78,National Immunisation Schedule
a0R2P000000TFbbUAG,"Diphtheria, tetanus and pertussis vaccine",A-00319,,"Diphtheria, tetanus and pertussis vaccine",Subcommittee recommendation,Amendments to use after immunosuppression,Decision,"Diphtheria, tetanus and pertussis vaccine",/apptracker/s/application-public/a102P000008puHa,National Immunisation Schedule
a0R2P000000LmYlUAK,"Diphtheria, tetanus and pertussis vaccine (Tdap)",A-01405,,"Diphtheria, tetanus and pertussis vaccine (Tdap)",PHARMAC Initiated,Widening of ages who have access,Decision,"Diphtheria, tetanus and pertussis vaccine (Tdap)",/apptracker/s/application-public/a102P000008puWo,National Immunisation Schedule
a0R2P000000TFULUA4,"Diphtheria, tetanus, and pertussis vaccine",A-00206,Boostrix,"Diphtheria, tetanus, and pertussis vaccine",Clinician,Vaccination of pregnant women regardless of epidemics,Decision,"Diphtheria, tetanus, and pertussis vaccine (Boostrix)",/apptracker/s/application-public/a102P000008ptx8,National Immunisation Schedule
a0ROZ00000DL6Kf2AL,"group B Vaccine (recombinant, adsorbed) 0.5 mL suspension for injection (4CMenB)",A-05455,Bexsero  MenQuadfi,"Multicomponent Meningococcal group B Vaccine (recombinant, adsorbed) 0.5 mL suspension for injection (4CMenB)",Clinician,Booster dose for adolescents on entering a second congregate setting,Seeking Clinical Advice,"Multicomponent Meningococcal group B Vaccine (recombinant, adsorbed) 0.5 mL suspension for injection (4CMenB) (Bexsero  MenQuadfi)",/apptracker/s/application-public/a10OZ000007O7SX,National Immunisation Schedule
a0R2P000000MTXBUA4,Haemophilus B conjugate vaccine with hepatitis B vaccine,A-00020,,Haemophilus B conjugate vaccine with hepatitis B vaccine,PHARMAC Initiated,Hospital listing,Decision,Haemophilus B conjugate vaccine with hepatitis B vaccine,/apptracker/s/application-public/a102P000008puiQ,National Immunisation Schedule
a0R2P000000LmV7UAK,Haemophilus influenzae type B vaccine,A-01408,,Haemophilus influenzae type B vaccine,PHARMAC Initiated,Widening of ages who have access,Decision,Haemophilus influenzae type B vaccine,/apptracker/s/application-public/a102P000008ptxH,National Immunisation Schedule
