Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c,Application Received date,Last Update date,Days elapsed between application and last update,Days until Seeking Clinical Advice,Days until Under Assessment,Days until Options Compared,Days until Under Consultation,Days until Reviewing Consultation Feedback,Days until Decision,Application Received dates,Seeking Clinical Advice dates,Under Assessment dates,Options Compared dates,Under Consultation dates,Reviewing Consultation Feedback dates,Decision dates,Outcome__c,Summary__c,FDA_ApprovalDate,TGA_ApprovalDate,MedSafe_ApprovalDate
a0R2P000000LmkWUAS,Risperidone tablets,A-01127,Risperdal,Risperidone tablets,Janssen,Schizophrenia,Decision,Risperidone tablets (Risperdal),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pugY,Nervous System,1994-04-01 00:00:00,1995-10-01 00:00:00,548,0,244,-91,,,395,1994-04-01:Application received,"1994-04-01:Clinical advice required
1994-06-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 1 June 1994.
1994-09-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 1 September 1994.
1994-10-01:Clinical advice required
1994-11-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Tuesday 1 November 1994.
1995-04-01:Clinical advice required
1995-05-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Monday 1 May 1995.","1994-12-01:Working to compare options
1995-04-01:Received Additional Information
1995-05-01:Working to compare options","1994-09-01:The relative ranking of the pharmaceutical application has been completed.
1994-10-01:Received Additional Information",,,1995-10-01:The funding application has been Approved.,Deferred; Decline; No Formal Recommendation; Recommended for funding with no priority,,1993-12-29,1993-11-30,1993-11-11
a0R2P000000LmjmUAC,Gabapentin,A-01197,Neurontin,Gabapentin,Parke Davis,Partial seizures in patients who have not achieved adequate control with other anti-epileptic drugs,Decision,Gabapentin (Neurontin),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pufT,Nervous System,1994-08-01 00:00:00,2001-03-01 00:00:00,2404,184,28,61,2072,,59,1994-08-01:Application received,"1995-02-01:Clinical advice required
1995-03-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 1 March 1995.
2000-05-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Monday 1 May 2000.",1995-03-01:Working to compare options,"1995-05-01:The relative ranking of the pharmaceutical application has been completed.
2000-03-01:Received Additional Information
2000-06-01:The relative ranking of the pharmaceutical application has been completed.",2001-01-01:Public consultation for this application is active.,,2001-03-01:The funding application has been Approved.,Recommended for funding with no priority; Medium,,1993-12-30,1999-12-09,1994-08-04
a0R2P000000LmThUAK,Somatropin - Growth Hormone,A-01165,Genotropin,Somatropin - Growth Hormone,Clinician,Adult  and adolescent  patients with growth hormone deficiency,Decision,Somatropin - Growth Hormone (Genotropin),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puMe,Hormone Preparations - Systemic Excluding Contraceptive Hormones,1995-09-01 00:00:00,2005-09-01 00:00:00,3653,0,427,-366,5083,,-1491,1995-09-01:Application received,"1995-09-01:Clinical advice required
1995-11-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 1 November 1995.
1996-09-01:Clinical advice required
1996-10-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Tuesday 1 October 1996.
2004-01-01:Clinical advice required
2004-02-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Sunday 1 February 2004.
2005-01-01:Clinical advice required
2005-02-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Tuesday 1 February 2005.
2005-04-01:Received Additional Information
2005-05-19:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 19 May 2005.
2006-05-01:Clinical advice required
2006-08-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Tuesday 1 August 2006.
2007-04-01:Clinical advice received from Growth Hormone Subcommittee at meeting Sunday 1 April 2007.
2007-08-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 8 August 2007.",1996-11-01:Working to compare options,"1995-11-01:The relative ranking of the pharmaceutical application has been completed.
1996-09-01:Received Additional Information
1998-01-01:The relative ranking of the pharmaceutical application has been completed.
2004-01-01:Received Additional Information
2004-02-01:The relative ranking of the pharmaceutical application has been completed.
2005-01-01:Received Additional Information
2005-05-01:The relative ranking of the pharmaceutical application has been completed.
2006-09-01:The relative ranking of the pharmaceutical application has been completed.",2009-10-01:Public consultation for this application is active.,,"2005-09-01:The funding application has been Approved.
2006-05-01:Received Additional Information
2009-11-01:The funding application has been Approved.",Decline; Medium; Decline; Deferred; Decline; Recommended for funding with no priority; Recommended alteration to access criteria; Recommended alteration to access criteria,The committee  recommended that a subcommittee of PTAC be established to identify entry and exit criteria for access to growth hormone therapy for adults with severe sequelae from growth hormone deficiency,1986-10-16,2000-11-03,1981-02-24
a0R2P000000Lmo2UAC,Interferon beta-1-beta,A-01183,Betaferon,Interferon beta-1-beta,Bayer,Relapsing remitting multiple sclerosis,Decision,Interferon beta-1-beta (Betaferon),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptra,Nervous System,1996-01-01 00:00:00,1999-07-01 00:00:00,1277,0,,1216,0,,61,1996-01-01:Application received,"1996-01-01:Clinical advice required
1996-03-01:Clinical advice received from Neurological Subcommittee at meeting Friday 1 March 1996.
1996-05-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 1 May 1996.",,1999-05-01:The relative ranking of the pharmaceutical application has been completed.,1999-05-01:Public consultation for this application is active.,,"1999-07-01:The funding application has been Approved.
1999-12-01:The funding application has been Approved.",Low; Low,Listed following a decision by the Minister of Health,1986-06-04,2002-08-09,1999-10-14
a0R2P000000LmqWUAS,Anastrozole,A-01169,Arimidex,Anastrozole,AstraZeneca,Third line treatment of advanced breast cancer,Decision,Anastrozole (Arimidex),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puCL,Oncology Agents and Immunosuppressants,1997-02-01 00:00:00,1998-12-01 00:00:00,668,0,89,518,0,,61,1997-02-01:Application received,"1997-02-01:Clinical advice required
1997-05-15:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 15 May 1997.
1997-08-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Friday 1 August 1997.",1997-05-01:Working to compare options,1998-10-01:The relative ranking of the pharmaceutical application has been completed.,1998-10-01:Public consultation for this application is active.,,1998-12-01:The funding application has been Approved.,Recommended for funding with no priority; No Formal Recommendation,,1995-12-27,1996-12-17,1996-08-15
a0R2P000000d88RUAQ,Adrenaline auto-injector,A-00930 A-00929 A-00241,,Adrenaline auto-injector,"CSL, Clinician","Anaphylaxis, previous anaphylactic reaction or are at high risk of reaction",Decision,Adrenaline auto-injector,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu6s,Respiratory System and Allergies,1997-04-01 00:00:00,2022-12-15 00:00:00,9389,30,2618,2222,4414,30,61,1997-04-01:Application received,"1997-05-15:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 15 May 1997.
1997-11-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Saturday 1 November 1997.
1997-12-01:Unable to reach agreement with supplier.
2004-08-19:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 19 August 2004.
2005-10-12:Received Additional Information
2005-11-16:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 16 November 2005.
2006-10-01:Unable to reach agreement with supplier.
2014-05-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 May 2014.
2022-04-04:Clinical advice required
2022-04-04:Assigned to Respiratory Advisory Committee meeting to provide advice on Wednesday 27 April 2022
2022-09-05:Clinical advice received from Respiratory Advisory Committee at meeting Wednesday 27 April 2022.","2004-07-01:Working to compare options
2010-03-05:Working to compare options
2010-06-30:Working to compare options","2010-08-25:The relative ranking of the pharmaceutical application has been completed.
2012-04-01:Received Additional Information
2012-09-01:The relative ranking of the pharmaceutical application has been completed.
2013-11-01:Received Additional Information
2014-08-29:The relative ranking of the pharmaceutical application has been completed.
2022-07-26:The relative ranking of the pharmaceutical application has been completed.",2022-09-29:Public consultation for this application is active.,2022-10-15:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2022-12-15:The funding application has been approved.,Deferred; No Formal Recommendation; Medium; Medium; Medium; High,"Application received from CSL Pharmaceuticals.; The Committee directed PHARMAC staff to investigate other products, requested various additional information be acquired by PHARMAC, and requested that it reconsider this issue at a future meeting once PHARMAC staff had acquired the additional information requested.; The Committee made no recommendation regarding listing, but did recommend a set of restrictions if it were to be funded, and considered that, if funded, it should be available both for adults and for children.; PTAC reviewed adrenaline auto-injectors following PHARMAC staff&#39;s analysis. The Committee recommended that they be funded, subject to a Special Authority including restricting to patients where adequate education and training has been provided.; Received updated submission from CSL New Zealand Limited.; The Committee recommended that, on the basis of no new evidence in support of the proposal, the Committee&#39;s previous recommendation to list with a medium priority should stand.; Restarted analysis based on new price information from supplier.; Received further documentation from Allergy New Zealand.; Reranked the proposal.; <p><span style=""font-size: 12px; color: rgb(51, 51, 51);"">We are seeking feedback on a proposal to fund adrenaline auto-injectors for emergency treatment of severe anaphylaxis through Pharmac’s annual tender process. </span><span style=""font-size: 12px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">Consultation closes  </span><strong style=""font-size: 12px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">5pm Tuesday 11 October 2022 </strong><span style=""font-size: 12px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">and feedback can be emailed to </span><a href=""mailto:consult@pharmac.govt.nz?subject=Consultation%20feedback%3A%20adrenaline%20auto-injectors"" target=""_blank"" style=""font-size: 12px; color: rgb(62, 85, 161); background-color: rgb(255, 255, 255);"">consult@pharmac.govt.nz</a><span style=""font-size: 12px; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);"">.</span></p>",,1993-08-20,1965-01-01
a0R2P000000LmgQUAS,Mycophenolate mofetil,A-01195,Cellcept,Mycophenolate mofetil,Roche,Prophylaxis of kidney allograft rejection,Decision,Mycophenolate mofetil (Cellcept),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptoy,Oncology Agents and Immunosuppressants,1997-07-01 00:00:00,1998-06-01 00:00:00,335,0,215,28,31,,61,1997-07-01:Application received,"1997-07-01:Clinical advice required
1997-08-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Friday 1 August 1997.
1998-02-01:Received Additional Information
1998-02-01:Clinical advice required
1998-02-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Sunday 1 February 1998.",1998-02-01:Working to compare options,1998-03-01:The relative ranking of the pharmaceutical application has been completed.,1998-04-01:Public consultation for this application is active.,,1998-06-01:The funding application has been Approved.,Deferred; Recommended for funding with no priority,,1995-05-03,1999-11-02,1996-03-07
a0R2P000000Lmq2UAC,Interferon beta-1-alpha,A-01185,Avonex,Interferon beta-1-alpha,CSL,Relapsing remitting multiple sclerosis,Decision,Interferon beta-1-alpha (Avonex),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puC3,Nervous System,1997-07-01 00:00:00,1999-07-01 00:00:00,730,0,,427,242,,61,1997-07-01:Application received,"1997-07-01:Clinical advice required
1998-07-01:Clinical advice received from Neurological Subcommittee at meeting Wednesday 1 July 1998.
1998-08-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Saturday 1 August 1998.",,1998-09-01:The relative ranking of the pharmaceutical application has been completed.,1999-05-01:Public consultation for this application is active.,,"1999-07-01:The funding application has been Approved.
1999-12-01:The funding application has been Approved.",Medium to High; Deferred,Listed following a decision by the Minister of Health,1986-06-04,2004-05-04,2002-01-24
a0R2P000000LmnJUAS,Tamsulosin hydrochloride,A-01203,Tamsulosin-Rex,Tamsulosin hydrochloride,CSL,"Benign prostatic hyperplasia (BPH), intolerant of alpha-blockers",Decision,Tamsulosin hydrochloride (Tamsulosin-Rex),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu25,Genito-Urinary System,1997-08-01 00:00:00,2010-05-01 00:00:00,4656,0,3560,336,61,30,669,1997-08-01:Application received,"1997-08-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Friday 1 August 1997.
1997-11-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Saturday 1 November 1997.
2000-05-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Monday 1 May 2000.
2005-11-16:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 16 November 2005.
2006-11-01:Clinical advice required
2006-11-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 1 November 2006.
2007-11-07:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 7 November 2007.",2007-05-01:Working to compare options,2008-04-01:The relative ranking of the pharmaceutical application has been completed.,2008-06-27:Public consultation for this application is active.,2008-07-11:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2010-05-01:The funding application has been Approved.,Deferred; No Formal Recommendation; Medium; Medium; No Formal Recommendation; Medium,,1997-04-15,2006-01-18,1996-04-18
a0R2P000000LmoIUAS,Donepezil,A-00902 A-00903,Aricept,Donepezil,"Pfizer, PHARMAC Initiated",Alzheimer's disease (Dementia),Decision,Donepezil (Aricept),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu16,Nervous System,1997-09-01 00:00:00,2004-02-01 00:00:00,2344,0,1430,153,638,,123,1997-09-01:Application received,"1997-09-01:Clinical advice required
1998-07-01:Clinical advice received from Neurological Subcommittee at meeting Wednesday 1 July 1998.
1998-11-12:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 12 November 1998.
2000-09-01:Received Additional Information
2000-09-01:Clinical advice required
2001-02-01:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 1 February 2001.
2001-07-01:Received Additional Information
2001-07-01:Clinical advice required
2001-08-23:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 23 August 2001.
2008-02-01:Clinical advice required
2008-02-21:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 21 February 2008.
2008-06-01:Clinical advice required
2008-07-23:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Wednesday 23 July 2008.","2001-08-01:Working to compare options
2008-02-01:Working to compare options","2002-01-01:The relative ranking of the pharmaceutical application has been completed.
2009-09-01:The relative ranking of the pharmaceutical application has been completed.","2003-10-01:Public consultation for this application is active.
2010-01-01:Public consultation for this application is active.",,"2004-02-01:The funding application has been Approved.
2008-02-01:Received Additional Information
2010-05-01:The funding application has been Approved.",Decline; Decline; Decline; Low; Deferred; Low,,1996-11-25,1998-03-30,2003-01-09
