Chemical_Name,Community_URL,Indication,Therapeutic_group
Abiraterone,/apptracker/s/application-public/a102P00000BIGVA,"Prostate cancer, same indications as for originator",
Acalabrutinib,/apptracker/s/application-public/a102P00000BLLor,"Chronic lymphocytic leukaemia (CLL), as subsequent line of therapy to venetoclax regimens for those relapsed or refractory within 36 months or have intolerable side effects with venetoclax",Oncology Agents and Immunosuppressants
Amino Acid plus vitamins and minerals  - PKU Anamix 1st Spoon,/apptracker/s/application-public/a102P000008ptpT,Phenylketonuria (PKU),Special Foods
Amphotericin B,/apptracker/s/application-public/a10OZ0000001Qzl,"Prophylaxis of invasive fungal infections in people with high risk malignancies, lung and liver transplant recipients",
Apixaban,/apptracker/s/application-public/a102P000008puNw,Stroke prevention in atrial fibrillation,Blood and Blood Forming Organs
"Aspirin, atorvastatin, and ramipril combination pill",/apptracker/s/application-public/a102P000008puCm,Secondary prevention of cardiovascular events,Cardiovascular System
Atezolizumab,/apptracker/s/application-public/a10OZ000000ohY1,"Subcutaneous formulation, NSCLC, and all other IV atezolizumab indications",
Bictegravir 50 mg / Emtricitabine 200 mg / Tenofovir alafenamide 25 mg,/apptracker/s/application-public/a102P00000AW9pI,HIV-1 infection in adults,Infections - Agents for Systemic Use
Cabozantanib Nivolumab,/apptracker/s/application-public/a102P00000BarHT,First line treatment for metastatic IMDC score intermediate and poor prognosis kidney cancer with a clear cell component.,Oncology Agents and Immunosuppressants
Caspofungin,/apptracker/s/application-public/a10OZ0000001Qy9,"Prophylaxis of invasive fungal infections in people with high risk malignancies, lung and liver transplant recipients",
Cholecalciferol (Vitamin D) 1000 IU tablets,/apptracker/s/application-public/a102P000008pueX,Vitamin D deficiency,Alimentary Tract and Metabolism
Cladribine,/apptracker/s/application-public/a102P000008puCH,Relapsing-remitting multiple sclerosis,Nervous System
Eliglustat,/apptracker/s/application-public/a10OZ0000011wKj,type 1 or type 3 Gaucher disease,
Emtricitabine - tenofovir alafenamide,/apptracker/s/application-public/a102P000008pucu,HIV 1,Infections - Agents for Systemic Use
Entrectinib,/apptracker/s/application-public/a102P00000ASxy1,"Non-small cell lung cancer (NSCLC) - adult patients with ROS1-positive, locally advanced or metastatic",Oncology Agents and Immunosuppressants
Etonogestrel,/apptracker/s/application-public/a10OZ000003kaLJ,Contraception,
